fold,validation_selected_trial_accuracy,validation_selected_window_accuracy,validation_selected_best_epoch,validation_selected_epochs,test_selected_trial_accuracy,test_selected_window_accuracy,test_selected_best_epoch,test_selected_epochs,test_selected_minus_validation_selected
0,0.7708333333333334,0.5940860215053764,17,27,0.7708333333333334,0.5940860215053764,17,27,0.0
1,0.6666666666666666,0.5860215053763441,3,13,0.7916666666666666,0.5920698924731183,35,45,0.125
2,0.5833333333333334,0.5013440860215054,22,32,0.625,0.5389784946236559,9,19,0.04166666666666663
3,0.5869565217391305,0.5021037868162693,43,53,0.5869565217391305,0.49859747545582045,33,43,0.0
4,0.5777777777777777,0.5003584229390681,3,13,0.5777777777777777,0.46953405017921146,10,20,0.0
